,"Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56- | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56dim | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16-CD56bright | Freq. of Parent (%)",
173d.fcs,85.4,8.04,2.06,
173e.fcs,76.5,13.8,3.70,
174d.fcs,38.0,48.9,3.63,
174e.fcs,43.5,43.4,2.88,
178d.fcs,59.6,25.2,3.87,
178e.fcs,68.5,15.5,1.10,
179d.fcs,48.1,37.5,3.30,
179e.fcs,61.4,25.6,3.58,
191d.fcs,28.3,51.9,11.6,
191e.fcs,32.7,51.6,6.73,
192d.fcs,83.7,6.58,2.28,
194d.fcs,64.0,22.1,4.38,
194e.fcs,85.9,6.52,2.23,
207d.fcs,49.7,35.7,4.18,
225d.fcs,51.5,31.5,5.29,
225e.fcs,51.5,27.4,8.81,
BL1-A.fcs,,,,
LRS_1_8.9.fcs,51.6,32.7,5.38,
RL1-A.fcs,,,,
RL3-A.fcs,,,,
US.fcs,,,,
VL1-A.fcs,,,,
VL2-A.fcs,,,,
VL3-A.fcs,,,,
Mean,,,,
SD,,,,
