,"Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56- | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56dim | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16-CD56bright | Freq. of Parent (%)",
284d.fcs,12.9,67.2,16.2,
284e.fcs,47.2,38.1,8.85,
289d.fcs,11.6,83.0,2.52,
289e.fcs,14.4,80.3,2.34,
290d.fcs,27.2,61.1,6.94,
290e.fcs,12.6,73.9,9.45,
293d.fcs,15.4,76.3,3.68,
293e.fcs,33.4,57.3,3.64,
295d.fcs,5.40,83.7,9.46,
295e.fcs,4.39,86.2,8.09,
296d.fcs,23.3,63.0,10.3,
296e.fcs,24.6,59.9,9.47,
297d.fcs,41.0,39.0,13.9,
297e.fcs,53.4,33.2,7.13,
298d.fcs,10.1,78.4,9.09,
298e.fcs,17.2,68.8,10.3,
303d.fcs,16.3,72.1,7.96,
303e.fcs,24.8,66.1,5.97,
315d.fcs,18.3,73.2,4.45,
315e.fcs,24.5,68.5,3.27,
LRS_1_1.22.fcs,6.15,83.7,7.60,
Mean,21.1,67.3,7.65,
SD,13.4,15.2,3.60,
