,"Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56- | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56dim | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16-CD56bright | Freq. of Parent (%)",
34d.fcs,64.7,14.9,14.7,
34e.fcs,66.6,14.5,13.2,
74d.fcs,78.6,13.8,2.46,
74e.fcs,73.0,18.6,3.07,
86d.fcs,25.2,64.6,5.52,
86e.fcs,40.9,45.8,5.37,
101d.fcs,40.9,49.7,0.80,
110d.fcs,68.6,22.0,3.58,
110e.fcs,69.0,20.2,5.01,
111d.fcs,28.1,56.6,8.22,
111e.fcs,51.2,33.0,6.68,
117d.fcs,38.3,47.7,5.88,
117e.fcs,51.8,39.1,2.35,
118d.fcs,41.4,46.8,3.46,
118e.fcs,59.4,30.7,3.83,
123d.fcs,66.0,28.6,1.58,
123e.fcs,73.1,20.6,2.07,
130d.fcs,45.6,39.5,4.87,
LRS_1_7.31.fcs,26.4,58.5,7.07,
Mean,53.1,35.0,5.25,
SD,17.1,16.3,3.65,
