Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Mark Overstall, Malcolm Bowie, Margaret Mauldon","=""0192840398""","=""9780192840394""",0,3.68,Oxford University Press,Paperback,329,2004,1857,,2021/02/02,to-read,to-read (#50),to-read,,,,0,,,0,,,,,,,"Classics|9654;Fiction|4027;Cultural,France|1337;Literature|823;European Literature,French Literature|732;Romance|652;Literature,19th Century|551;Novels|491;Historical,Historical Fiction|386;Classics,Classic Literature|292"
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",0,3.86,Vintage International,Paperback,366,1990,1929,,2021/02/02,to-read,to-read (#49),to-read,,,,0,,,0,,,,,,,"Classics|4966;Fiction|3496;Literature|736;Novels|434;Literature,American|400;Literature,20th Century|234;Gothic,Southern Gothic|201;American,Southern|194;Literary Fiction|190;Academic,School|190"
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García",Edith Grossman,"=""140003468X""","=""9781400034680""",0,3.92,Vintage International,Paperback,348,2003,1985,,2021/02/02,to-read,to-read (#48),to-read,,,,0,,,0,,,,,,,"Fiction|6204;Classics|4313;Historical,Historical Fiction|1507;Romance|1292;Magical Realism|1110;Literature|766;Novels|643;European Literature,Spanish Literature|363;Literary Fiction|341;Historical|306"
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",0,4.27,Modern Library,Paperback,279,2000,1813,,2021/02/02,to-read,to-read (#47),to-read,,,,0,,,0,,,,,,,"Classics|52699;Fiction|15810;Romance|12874;Historical,Historical Fiction|4091;Literature|2680;Historical|2360;Novels|1485;Romance,Historical Romance|1366;Adult|1292;Audiobook|1250"
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Lee Fahnestock, Norman MacAfee","=""""","=""""",0,4.18,Penguin,Mass Market Paperback,1463,1987,1862,,2021/02/02,to-read,to-read (#46),to-read,,,,0,,,0,,,,,,,"Classics|16859;Fiction|5702;Historical,Historical Fiction|3036;Literature|1165;Cultural,France|1040;Historical|804;Novels|656;European Literature,French Literature|599;Romance|535;Classics,Classic Literature|502"
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Constance Garnett, Aylmer Maude, Louise Maude, Dmitriy Butko, George Gibian","=""""","=""""",0,4.06,Vintage,Paperback,964,2012,1877,,2021/02/02,to-read,to-read (#45),to-read,,,,0,,,0,,,,,,,"Classics|20049;Fiction|7704;Romance|1846;Cultural,Russia|1843;Historical,Historical Fiction|1611;Literature,Russian Literature|1481;Literature|1475;Novels|837;Literature,19th Century|646;Historical|583"
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","John Rutherford, Roberto González Echevarría","=""0142437239""","=""9780142437230""",0,3.88,Penguin Books,Paperback,1023,2003,1605,,2021/02/02,to-read,to-read (#44),to-read,,,,0,,,0,,,,,,,"Classics|9605;Fiction|4638;Literature|1035;European Literature,Spanish Literature|617;Adventure|547;Novels|494;Historical,Historical Fiction|471;Cultural,Spain|433;Humor|388;Classics,Classic Literature|346"
677923,The Essays,Francis Bacon,"Bacon, Francis",John Pitcher,"=""0140432167""","=""9780140432169""",0,3.83,Penguin Classics,Paperback,288,1985,1597,,2021/02/02,to-read,to-read (#43),to-read,,,,0,,,0,,,,,,,"Philosophy|392;Classics|127;Writing,Essays|118;Nonfiction|89;History|36;Science|27;Politics|17;Literature,16th Century|13;Literature|12;European Literature,British Literature|11"
37526,Henry V,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, Michael Neill","=""0743484878""","=""9780743484879""",0,3.87,Washington Square Press,Paperback,294,2004,1600,,2021/02/02,to-read,to-read (#42),to-read,,,,0,,,0,,,,,,,"Classics|1953;Plays|1701;Drama|678;Fiction|450;Historical,Historical Fiction|311;Plays,Theatre|196;Literature|173;Poetry|131;Academic,School|130;Historical|111"
1362,The Histories,Herodotus,"Herodotus, Herodotus","Aubrey de Sélincourt, John M. Marincola","=""0140449086""","=""9780140449082""",0,3.95,Penguin Books,Paperback,716,2003,-450,,2021/02/02,to-read,to-read (#41),to-read,,,,0,,,0,,,,,,,"History|2842;Classics|1351;Nonfiction|748;History,Ancient History|209;Literature,Ancient|128;Cultural,Greece|125;Historical|108;Literature|86;Philosophy|84;Fantasy,Mythology|64"
